"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2023","57,907.62","57,484.86","58,053.04","57,288.79","","0.92%"
"10/10/2023","57,381.15","57,516.55","57,681.27","57,246.91","","-0.04%"
"10/09/2023","57,405.37","56,631.69","57,602.12","56,628.36","","1.89%"
"10/06/2023","56,343.25","56,065.56","56,517.09","55,751.11","","0.68%"
"10/05/2023","55,962.95","56,098.99","56,342.45","55,831.20","","-0.06%"
"10/04/2023","55,998.96","56,377.37","56,579.32","55,951.38","","-0.57%"
"10/03/2023","56,319.36","56,527.25","56,650.94","56,032.95","","-0.27%"
"10/02/2023","56,473.87","57,107.23","57,155.96","56,478.30","","-0.96%"
"09/29/2023","57,020.47","57,623.46","58,099.60","57,051.79","","-0.86%"
"09/28/2023","57,516.75","57,938.75","58,096.52","57,404.75","","-0.55%"
"09/27/2023","57,833.58","58,778.86","58,879.70","57,859.49","","-1.50%"
"09/26/2023","58,715.87","59,249.08","59,285.89","58,731.95","","-0.75%"
"09/25/2023","59,161.33","59,557.30","59,618.25","59,162.22","","-0.38%"
"09/22/2023","59,385.86","59,329.14","59,626.07","59,312.36","","0.33%"
"09/21/2023","59,191.73","59,647.06","59,746.99","59,124.10","","-0.57%"
"09/20/2023","59,531.55","59,670.02","60,186.93","59,443.36","","-0.05%"
"09/19/2023","59,561.48","59,760.48","59,962.28","59,472.98","","-0.14%"
"09/18/2023","59,647.79","59,544.21","59,806.36","59,383.16","","0.19%"
"09/15/2023","59,534.76","59,147.07","59,759.55","59,106.51","","0.69%"
"09/14/2023","59,126.38","58,967.57","59,193.01","58,706.20","","0.57%"
"09/13/2023","58,790.18","59,130.86","59,241.36","58,851.18","","-0.40%"
"09/12/2023","59,023.64","59,399.07","59,544.45","58,938.68","","-0.60%"
"09/11/2023","59,378.68","59,388.41","59,744.09","59,274.68","","0.31%"
"09/08/2023","59,193.11","59,357.27","59,643.07","59,246.42","","-0.01%"
"09/07/2023","59,198.07","59,224.61","59,531.30","59,097.03","","0.14%"
"09/06/2023","59,114.46","59,565.45","59,708.49","59,181.25","","-0.66%"
"09/05/2023","59,504.43","59,902.61","60,003.46","59,490.25","","-0.48%"
"09/04/2023","59,793.20","60,058.23","60,241.60","59,827.07","","-0.05%"
"09/01/2023","59,824.01","59,936.18","60,361.48","59,779.00","","-0.02%"
"08/31/2023","59,838.05","60,019.32","60,284.16","59,895.11","","-0.12%"
"08/30/2023","59,908.90","59,965.73","60,225.23","59,604.66","","-0.08%"
"08/29/2023","59,955.84","59,334.93","59,990.66","59,142.64","","1.27%"
"08/28/2023","59,204.40","59,015.78","59,519.14","58,962.91","","0.23%"
"08/25/2023","59,065.66","59,229.57","59,423.68","58,815.10","","-0.09%"
"08/24/2023","59,118.98","59,174.64","59,539.82","59,060.75","","0.15%"
"08/23/2023","59,033.24","58,629.20","59,357.24","58,507.72","","0.87%"
"08/22/2023","58,521.43","58,560.73","58,945.57","58,332.16","","0.16%"
"08/21/2023","58,427.61","58,429.71","58,775.35","58,231.07","","0.27%"
"08/18/2023","58,269.17","58,358.02","58,631.09","58,283.62","","0.07%"
"08/17/2023","58,226.84","58,456.27","58,834.16","58,231.09","","-0.21%"
"08/16/2023","58,346.55","58,771.44","59,039.97","58,441.21","","-0.54%"
"08/15/2023","58,661.50","58,932.00","59,109.61","58,591.07","","-0.27%"
"08/14/2023","58,823.18","59,227.99","59,303.05","58,811.95","","-0.34%"
"08/11/2023","59,025.87","59,089.16","59,363.40","59,048.21","","0.06%"
"08/10/2023","58,987.98","59,155.81","59,654.77","59,065.64","","-0.09%"
"08/09/2023","59,043.05","59,444.64","59,810.16","59,144.11","","-0.58%"
"08/08/2023","59,385.94","59,840.84","59,937.77","59,405.27","","-0.54%"
"08/07/2023","59,708.35","59,840.56","60,038.07","59,547.66","","-0.68%"
"08/04/2023","60,119.83","59,859.21","60,265.59","59,725.66","","0.50%"
"08/03/2023","59,820.56","59,769.58","60,009.79","59,538.88","","0.26%"
"08/02/2023","59,663.61","60,084.34","60,493.07","59,729.72","","-0.50%"
"08/01/2023","59,963.81","60,720.75","60,760.79","59,983.25","","-1.06%"
"07/31/2023","60,607.60","60,548.44","60,997.87","60,176.28","","0.28%"
"07/28/2023","60,441.36","60,131.57","60,678.66","60,047.88","","0.75%"
"07/27/2023","59,990.60","60,944.25","61,303.96","60,026.68","","-1.38%"
"07/26/2023","60,827.62","60,725.36","61,140.53","60,448.09","","0.37%"
"07/25/2023","60,606.03","60,400.34","60,815.12","60,355.66","","0.57%"
"07/24/2023","60,263.52","60,628.77","60,877.63","60,360.65","","-0.07%"
"07/21/2023","60,303.22","60,666.55","60,795.79","60,270.22","","-0.43%"
"07/20/2023","60,566.37","60,880.77","61,217.93","60,534.33","","-0.33%"
"07/19/2023","60,766.48","61,141.08","61,291.58","60,823.16","","-0.42%"
"07/18/2023","61,023.56","60,408.13","61,356.55","60,365.81","","1.14%"
"07/17/2023","60,336.22","60,406.29","60,656.02","60,125.98","","0.04%"
"07/14/2023","60,309.45","60,576.68","60,681.89","60,285.91","","-0.27%"
"07/13/2023","60,470.30","60,542.38","60,763.89","60,253.75","","0.02%"
"07/12/2023","60,460.15","59,748.45","60,614.61","59,599.55","","1.29%"
"07/11/2023","59,690.22","59,517.55","59,996.48","59,423.82","","0.51%"
"07/10/2023","59,384.79","59,488.55","59,642.46","58,915.94","","-0.02%"
"07/07/2023","59,396.25","59,051.48","59,789.04","59,005.29","","0.77%"
"07/06/2023","58,941.70","59,178.00","59,596.91","58,792.67","","-0.22%"
"07/05/2023","59,071.82","59,510.32","59,800.41","59,167.07","","-0.53%"
"07/04/2023","59,389.03","59,380.13","59,748.57","59,259.81","","0.20%"
"07/03/2023","59,272.91","59,309.34","59,670.85","59,022.11","","0.09%"
"06/30/2023","59,219.35","58,975.50","59,417.55","58,727.21","","0.62%"
"06/29/2023","58,852.24","58,935.95","59,116.30","58,494.01","","0.04%"
